Gene	HGNC_ID
TRIM40	HGNC:18736
TRIM42	HGNC:19014
TRIM43	HGNC:19015
TRIM48	HGNC:19021
TRIM49	HGNC:13431
TRIM51	HGNC:19023
TRIM60	HGNC:21162
TRIM67	HGNC:31859
TRIML1	HGNC:26698
TRPC5	HGNC:12337
TRPC7	HGNC:20754
TRPM1	HGNC:7146
TRPV5	HGNC:3145
TSGA13	HGNC:12369
TSHB	HGNC:12372
TSPAN16	HGNC:30725
TSPO2	HGNC:21256
TSPY1	HGNC:12381
TSPYL6	HGNC:14521
TSSK1B	HGNC:14968
TSSK2	HGNC:11401
TXNDC8	HGNC:31454
TYR	HGNC:12442
UBQLN3	HGNC:12510
UMOD	HGNC:12559
UROC1	HGNC:26444
USP17L2	HGNC:34434
USP26	HGNC:13485
USP29	HGNC:18563
UTS2R	HGNC:4468
VAX1	HGNC:12660
VCX3A	HGNC:18159
VHLL	HGNC:30666
VN1R2	HGNC:19872
VN1R4	HGNC:19871
VN1R5	HGNC:19870
VPREB1	HGNC:12709
VRTN	HGNC:20223
VSX2	HGNC:1975
WFDC10A	HGNC:16139
WFDC11	HGNC:20478
WFDC9	HGNC:20380
XAGE2	HGNC:4112
XAGE5	HGNC:30930
XKR7	HGNC:23062
ZAN	HGNC:12857
ZCCHC13	HGNC:31749
ZCCHC16	HGNC:25214
ZG16	HGNC:30961
ZIC3	HGNC:12874
ZIM3	HGNC:16366
ZNF645	HGNC:26371
ZNF648	HGNC:18190
ZNF679	HGNC:28650
ZNF804B	HGNC:21958
ZNRF4	HGNC:17726
ZP2	HGNC:13188
ZP4	HGNC:15770
ZSWIM2	HGNC:30990
